id,tenant_id,code,name,address,is_default,active,created_at,created_by,updated_at,updated_by,deleted_at,deleted_by
782797aa-192f-4e66-993b-79d4412bc1e9,00000000-0000-0000-0000-00000000d01c,MD-NORTE,Almacén Zona Norte,Carretera Norte km 12,f,t,2026-05-26 18:32:29.501879+00,,2026-05-26 18:32:29.501879+00,,,
78ece807-944f-4acd-8d24-df378e52e4c8,00000000-0000-0000-0000-00000000d01c,MD-SUR,Almacén Zona Sur,Av. Sur 456,f,t,2026-05-26 18:32:29.501879+00,,2026-05-26 18:32:29.501879+00,,,
00000000-0000-0000-0000-0000c0ffee01,00000000-0000-0000-0000-00000000d01c,MD-CENTRAL,Almacén Central Mega Dulces,Por definir,t,t,2026-05-26 18:04:01.233828+00,,2026-05-27 15:15:30.938928+00,,,
37e09536-4b7a-46a7-b572-12d0dad1d986,00000000-0000-0000-0000-00000000d01c,MD-CEDIS,CEDIS Mega Dulces,,f,t,2026-06-01 22:58:16.834089+00,,2026-06-01 22:58:16.834089+00,,,
e6e1f3d6-2899-4a46-9db0-0d73f1d10dc4,00000000-0000-0000-0000-00000000d01c,MD-10,Almacén 10,,f,t,2026-06-01 22:58:16.834089+00,,2026-06-01 22:58:16.834089+00,,,
063ad319-84a7-4217-8ec9-a7fb1e37f526,00000000-0000-0000-0000-00000000d01c,MD-30,Almacén 30,,f,t,2026-06-01 22:58:16.834089+00,,2026-06-01 22:58:16.834089+00,,,
4c3ffe9b-b2dc-40ca-b376-aa1e885558f8,00000000-0000-0000-0000-00000000d01c,MD-40,Almacén 40,,f,t,2026-06-01 22:58:16.834089+00,,2026-06-01 22:58:16.834089+00,,,
f77ba05f-3c46-46a6-ab61-43e8b13d88ee,00000000-0000-0000-0000-00000000d01c,MD-42,Almacén 42,,f,t,2026-06-01 22:58:16.834089+00,,2026-06-01 22:58:16.834089+00,,,
14dbe0fa-545a-437c-bfef-bcfc70855714,00000000-0000-0000-0000-00000000d01c,MD-44,Almacén 44,,f,t,2026-06-01 22:58:16.834089+00,,2026-06-01 22:58:16.834089+00,,,
efc8fbac-b7e7-48bf-8ae5-2aeff74d7183,00000000-0000-0000-0000-00000000d01c,MD-50,Almacén 50,,f,t,2026-06-01 22:58:16.834089+00,,2026-06-01 22:58:16.834089+00,,,
95bf3615-8900-43b1-b56f-8144a5aa94bb,00000000-0000-0000-0000-00000000d01c,MD-54,Almacén 54,,f,t,2026-06-01 22:58:16.834089+00,,2026-06-01 22:58:16.834089+00,,,
